epoch,accuracy,loss,val_accuracy,val_loss
0,0.04205607622861862,0.6854267716407776,0.018691588193178177,0.6791344881057739
1,0.053738318383693695,0.6737125515937805,0.018691588193178177,0.666737973690033
2,0.08878504484891891,0.6607603430747986,0.13084112107753754,0.6519800424575806
3,0.08177570253610611,0.6458250880241394,0.1682243049144745,0.63434237241745
4,0.07943925261497498,0.6264318823814392,0.1682243049144745,0.6134404540061951
5,0.10514018684625626,0.6041151285171509,0.1682243049144745,0.5892736315727234
6,0.1144859790802002,0.5809382200241089,0.1682243049144745,0.5626370310783386
7,0.14018692076206207,0.5534899234771729,0.1682243049144745,0.5343040823936462
8,0.14018692076206207,0.5268983840942383,0.1682243049144745,0.5049333572387695
9,0.14018692076206207,0.49747830629348755,0.1682243049144745,0.4757649898529053
10,0.14018692076206207,0.46813929080963135,0.1682243049144745,0.4471985995769501
11,0.14018692076206207,0.44367846846580505,0.1682243049144745,0.4204042851924896
12,0.14485980570316315,0.42282506823539734,0.1682243049144745,0.39585843682289124
13,0.14485980570316315,0.398812472820282,0.1682243049144745,0.37358981370925903
14,0.1425233632326126,0.37730857729911804,0.1682243049144745,0.3538234829902649
15,0.14485980570316315,0.3580123782157898,0.1682243049144745,0.3363916277885437
16,0.14485980570316315,0.34381088614463806,0.1682243049144745,0.3213869631290436
17,0.14485980570316315,0.330179899930954,0.1682243049144745,0.30866318941116333
18,0.14485980570316315,0.32064077258110046,0.1682243049144745,0.2978968620300293
19,0.14485980570316315,0.3118661046028137,0.1682243049144745,0.28860771656036377
20,0.14485980570316315,0.30149418115615845,0.1682243049144745,0.2810046374797821
21,0.14485980570316315,0.2910524010658264,0.1682243049144745,0.2745618522167206
22,0.14485980570316315,0.2882990837097168,0.1682243049144745,0.2690257132053375
23,0.14485980570316315,0.28580209612846375,0.1682243049144745,0.26443374156951904
24,0.14485980570316315,0.2790225148200989,0.1682243049144745,0.26067212224006653
25,0.14485980570316315,0.27356651425361633,0.1682243049144745,0.2574467658996582
26,0.14485980570316315,0.2698042392730713,0.1682243049144745,0.254733145236969
27,0.14485980570316315,0.2682771682739258,0.1682243049144745,0.25244343280792236
28,0.14485980570316315,0.2648772895336151,0.1682243049144745,0.25055626034736633
29,0.14485980570316315,0.26256510615348816,0.1682243049144745,0.2488773763179779
30,0.14485980570316315,0.2647416293621063,0.1682243049144745,0.24748212099075317
31,0.14485980570316315,0.2593393921852112,0.1682243049144745,0.2462960034608841
32,0.1425233632326126,0.26016321778297424,0.1682243049144745,0.24520231783390045
33,0.14485980570316315,0.2598746716976166,0.1682243049144745,0.2442866712808609
34,0.14485980570316315,0.2601543068885803,0.1682243049144745,0.24347743391990662
35,0.14485980570316315,0.25668299198150635,0.1682243049144745,0.24279388785362244
36,0.14485980570316315,0.2606704533100128,0.1682243049144745,0.24225972592830658
37,0.14485980570316315,0.26037290692329407,0.1682243049144745,0.2417278289794922
