epoch,loss,precision,recall,val_loss,val_precision,val_recall
0,0.6847336888313293,0.08774372935295105,0.25099602341651917,0.6739117503166199,0.0,0.0
1,0.6641210317611694,0.1780821979045868,0.06905710697174072,0.6503045558929443,0.0,0.0
2,0.6371086835861206,0.19298245012760162,0.014608234167098999,0.6179126501083374,0.0,0.0
3,0.6010252833366394,0.5405405163764954,0.026560425758361816,0.5751848220825195,0.0,0.0
4,0.5541926026344299,0.4000000059604645,0.01859229803085327,0.5238537192344666,0.0,0.0
5,0.5030215382575989,0.1304347813129425,0.0039840638637542725,0.4686199724674225,0.0,0.0
6,0.4476405084133148,0.3571428656578064,0.006640106439590454,0.41525939106941223,0.0,0.0
7,0.4019196033477783,0.5789473652839661,0.014608234167098999,0.3686109483242035,0.0,0.0
8,0.35739442706108093,0.5,0.019920319318771362,0.331141859292984,0.0,0.0
9,0.32623833417892456,0.4375,0.027888447046279907,0.30338507890701294,0.0,0.0
10,0.301140159368515,0.5285714268684387,0.04913678765296936,0.2839771509170532,0.0,0.0
11,0.2854999601840973,0.4712643623352051,0.054448872804641724,0.270467072725296,0.0,0.0
12,0.2736882269382477,0.47663551568984985,0.06772908568382263,0.2615792155265808,0.0,0.0
13,0.26557081937789917,0.3689320385456085,0.05046480894088745,0.2554071247577667,0.0,0.0
14,0.2602469027042389,0.5555555820465088,0.0863213837146759,0.25115615129470825,0.0,0.0
15,0.2578398883342743,0.4692307710647583,0.08100929856300354,0.2480294406414032,0.0,0.0
16,0.2528184652328491,0.48175182938575745,0.087649405002594,0.245741605758667,0.0,0.0
17,0.25001707673072815,0.5360000133514404,0.08897742629051208,0.24433588981628418,0.0,0.0
18,0.24913306534290314,0.4957983195781708,0.07835325598716736,0.24302740395069122,0.0,0.0
19,0.24850764870643616,0.4523809552192688,0.05046480894088745,0.24205300211906433,0.0,0.0
20,0.24548715353012085,0.4859813153743744,0.06905710697174072,0.2412291318178177,0.0,0.0
21,0.24630466103553772,0.4761904776096344,0.07968127727508545,0.2405126392841339,0.0,0.0
22,0.244993194937706,0.46715328097343445,0.08499336242675781,0.24011141061782837,0.0,0.0
23,0.2449091225862503,0.5,0.07835325598716736,0.23981596529483795,0.0,0.0
24,0.2440427988767624,0.4628099203109741,0.07436919212341309,0.23937861621379852,0.0,0.0
25,0.2431030571460724,0.5153846144676208,0.08897742629051208,0.2391248196363449,0.0,0.0
26,0.24157045781612396,0.5114504098892212,0.08897742629051208,0.23891901969909668,0.0,0.0
27,0.24317167699337006,0.5043478012084961,0.07702523469924927,0.23876066505908966,0.0,0.0
28,0.24099405109882355,0.5032258033752441,0.10358566045761108,0.23849277198314667,0.0,0.0
29,0.24138623476028442,0.5227272510528564,0.12217795848846436,0.23829330503940582,0.0,0.0
30,0.2407749891281128,0.5129870176315308,0.10491368174552917,0.23833073675632477,0.0,0.0
31,0.2410241812467575,0.4769230782985687,0.08233731985092163,0.23812393844127655,0.0,0.0
32,0.2414301037788391,0.4444444477558136,0.07968127727508545,0.23782791197299957,0.0,0.0
33,0.23974847793579102,0.4416666626930237,0.07038512825965881,0.23777690529823303,0.0,0.0
34,0.24024519324302673,0.5478261113166809,0.08366534113883972,0.23773011565208435,0.0,0.0
35,0.24039819836616516,0.5307692289352417,0.09163346886634827,0.23760086297988892,0.0,0.0
36,0.24037469923496246,0.5350318551063538,0.11155378818511963,0.2374858558177948,0.0,0.0
37,0.2377755045890808,0.5522388219833374,0.09827357530593872,0.2374017834663391,0.0,0.0
38,0.23813071846961975,0.48447203636169434,0.10358566045761108,0.23730826377868652,0.0,0.0
39,0.23828408122062683,0.5846154093742371,0.1009296178817749,0.23719006776809692,0.0,0.0
40,0.23734216392040253,0.4878048896789551,0.07968127727508545,0.23697665333747864,0.0,0.0
41,0.23857086896896362,0.5241379141807556,0.1009296178817749,0.23693381249904633,0.0,0.0
42,0.23732323944568634,0.49295774102211,0.09296149015426636,0.23678722977638245,0.0,0.0
43,0.23801420629024506,0.546875,0.09296149015426636,0.23673488199710846,0.0,0.0
44,0.2382139414548874,0.5037037134170532,0.09030544757843018,0.23664158582687378,0.0,0.0
45,0.2373255044221878,0.5,0.06905710697174072,0.2364787459373474,0.0,0.0
46,0.2354201227426529,0.5360000133514404,0.08897742629051208,0.23631320893764496,0.0,0.0
47,0.23722273111343384,0.5524475574493408,0.10491368174552917,0.23634453117847443,1.0,0.0051282052882015705
